iter	RMSE
0	15829.15342
1	15113.01723
2	14405.38538
3	13739.01191
4	13110.28356
5	12499.31852
6	11920.79922
7	11375.97683
8	10874.7752
9	10378.59476
10	9906.853713
11	9458.898891
12	9034.901991
13	8620.908046
14	8227.02177
15	7852.501629
16	7504.733236
17	7171.006075
18	6858.697717
19	6558.012103
20	6267.984892
21	5987.808032
22	5721.055473
23	5484.75116
24	5251.266415
25	5024.599723
26	4807.079661
27	4609.683531
28	4410.777316
29	4225.121221
30	4047.020707
31	3877.493068
32	3719.118926
33	3570.227586
34	3429.593214
35	3294.206804
36	3161.045225
37	3032.484348
38	2916.229202
39	2804.126169
40	2692.216545
41	2592.676259
42	2499.148694
43	2420.120417
44	2329.177461
45	2244.868166
46	2164.888388
47	2092.362491
48	2024.735399
49	1955.042387
50	1888.82234
51	1829.220733
52	1773.295622
53	1717.775167
54	1666.217657
55	1615.138897
56	1567.890152
57	1524.886369
58	1483.232702
59	1442.012113
60	1403.236321
61	1367.224643
62	1334.376888
63	1302.494237
64	1270.922927
65	1242.871945
66	1214.871301
67	1187.890179
68	1165.692543
69	1144.885219
70	1123.367722
71	1103.086181
72	1086.295799
73	1069.48772
74	1053.834673
75	1038.639147
76	1021.223112
77	1007.302862
78	994.8410679
79	982.6241265
80	972.6619518
81	962.0445887
82	952.250992
83	942.2935026
84	933.5375032
85	924.5070316
86	914.3493941
87	905.7565035
88	898.6944176
89	890.3805622
90	883.8178762
91	876.2511487
92	869.448126
93	863.4913007
94	857.6449524
95	851.4107863
96	844.658748
97	840.1282098
98	834.3589965
99	828.2161129
100	823.0943829
101	817.1272246
102	813.5853836
103	808.8019484
104	803.8266775
105	799.7735334
106	795.4586469
107	792.0322148
108	787.7593393
109	784.0619629
110	781.130509
111	777.3531793
112	774.4386745
113	771.6318609
114	767.7402737
115	765.324375
116	761.8669103
117	758.6170207
118	754.8937455
119	751.9191612
120	747.8971117
121	745.4057484
122	742.8528845
123	739.0175123
124	736.0561568
125	732.8946007
126	729.5640437
127	727.5288393
128	725.1920452
129	723.6002952
130	720.2589023
131	718.0862307
132	716.6156141
133	714.67677
134	713.5836315
135	709.6727347
136	708.2749635
137	706.212383
138	705.3754775
139	703.5322653
140	700.9898055
141	697.5419746
142	695.276911
143	693.106584
144	691.4018245
145	689.8330521
146	688.0542274
147	685.3075385
148	683.1600877
149	682.0179592
150	678.605763
151	676.4404098
152	674.2030762
153	672.9835904
154	671.3406749
155	670.4346059
156	668.5183166
